"seeds: 1044452533 40389941 3710737290 407166728 1552449232 639689359 3327654041 26912583 3440484265 219136668 1126550158 296212400 2332393052 229950158 200575068 532702401 4163696272 44707860 3067657312 45353528 \n"
"\n"
"seed-to-soil map:\n"
"1953514507 1808056938 198190267\n"
"3721110896 2006247205 109062451\n"
"1046714200 3920284337 339096560\n"
"965003502 2389762347 16609477\n"
"1946017538 563731936 3971811\n"
"2151704774 1532707249 120594830\n"
"1385810760 3525158 560206778\n"
"1949989349 0 3525158\n"
"3830173347 2115309656 274452691\n"
"0 567703747 902873308\n"
"2272299604 2471473045 1448811292\n"
"902873308 1470577055 62130194\n"
"981612979 2406371824 65101221\n"
"4104626038 1653302079 154754859\n"
"\n"
"soil-to-fertilizer map:\n"
"131659986 0 297180572\n"
"86587273 297180572 45072713\n"
"1582904051 2761968868 319965883\n"
"2557550592 597853135 123775334\n"
"3043086384 1215510442 38848367\n"
"2396751907 437054450 160798685\n"
"2705233686 1278266569 337852698\n"
"2681325926 1254358809 23907760\n"
"437054450 1616119267 1145849601\n"
"0 342253285 86587273\n"
"1902869934 721628469 493881973\n"
"\n"
"fertilizer-to-water map:\n"
"467642512 2808058179 217483684\n"
"2526131270 1651737021 215776571\n"
"1565499377 511818960 6051670\n"
"3343480207 1867513592 514593\n"
"2798489883 3734797658 14675956\n"
"3857697742 2589503758 214253670\n"
"815171875 1987566640 37566751\n"
"247326358 0 171803249\n"
"2084427309 467642512 44176448\n"
"2958404070 2075919098 113827599\n"
"3343994800 3944730705 350236591\n"
"2741907841 605954073 56582042\n"
"1964888854 1868028185 119538455\n"
"2128603757 3025541863 190296071\n"
"0 171803249 247326358\n"
"981208417 1018163709 584290960\n"
"3339179456 2803757428 4300751\n"
"3072231669 789607411 154371749\n"
"685126196 2025133391 41962236\n"
"852738626 2067095627 8823471\n"
"1698622343 943979160 74184549\n"
"1772806892 3215837934 192081962\n"
"3694231391 3749473614 163466351\n"
"3258394158 1602454669 49282352\n"
"1571551047 662536115 127071296\n"
"4071951412 2366487874 223015884\n"
"2318899828 3407919896 207231442\n"
"2813165839 2310334853 24650075\n"
"877578219 3631167460 103630198\n"
"2837815914 2189746697 120588156\n"
"727088432 517870630 88083443\n"
"861562097 3615151338 16016122\n"
"3307676510 2334984928 31502946\n"
"3226603418 3912939965 31790740\n"
"\n"
"water-to-light map:\n"
"643811272 144875370 639662384\n"
"3197353303 4064611747 230355549\n"
"2428135249 2178155112 85507014\n"
"2589388740 2163836443 14318669\n"
"2641064681 3116679588 24929315\n"
"1947728375 0 54427824\n"
"2665993996 3141608903 36865900\n"
"1660679363 2591737738 11969671\n"
