"49A49 734\n"
"67594 467\n"
"Q2429 453\n"
"3J787 359\n"
"K4824 703\n"
"29992 804\n"
"94JQK 988\n"
"2TQT5 765\n"
"7TQ3T 710\n"
"J4389 979\n"
"96J56 271\n"
"JTTJT 488\n"
"7QA5J 306\n"
"Q72Q2 163\n"
"A666A 759\n"
"2779T 566\n"
"A777Q 136\n"
"TJ277 365\n"
"QQ339 388\n"
"KA22K 31\n"
"99974 590\n"
"72672 946\n"
"4T25A 423\n"
"38873 650\n"
"97Q99 26\n"
"36436 66\n"
"98979 230\n"
"TTTK8 44\n"
"QQAQ4 451\n"
"77774 668\n"
"T77QT 108\n"
"JAJJA 681\n"
"74T52 637\n"
"9A7TA 843\n"
"4A334 3\n"
"669KK 727\n"
"999A6 156\n"
"77T77 464\n"
"845J3 59\n"
"AAAQQ 933\n"
"38K88 806\n"
"2QQ2J 107\n"
"TJATT 936\n"
"44737 794\n"
"66J66 33\n"
"T4TJQ 106\n"
"74TTQ 97\n"
"K84J4 374\n"
"55AAA 805\n"
"KK3K3 513\n"
"33393 178\n"
"4J44J 328\n"
"682A5 728\n"
"AJTKT 249\n"
"6959K 363\n"
"9993Q 991\n"
"K2K3T 70\n"
"JJQ42 857\n"
"AJ888 419\n"
"47T62 393\n"
"66JTT 498\n"
"44474 539\n"
"37QTA 747\n"
"QQ4JT 473\n"
"J6JQQ 678\n"
"5TT55 538\n"
"J22A2 15\n"
"QTAA9 478\n"
"7K43J 410\n"
"TKT2A 368\n"
"8KKK8 332\n"
"KK686 771\n"
"47762 550\n"
"J3773 653\n"
"557J5 167\n"
"8388T 926\n"
"J77K4 309\n"
"3A9Q5 215\n"
"A6AA2 845\n"
"K55KK 499\n"
"K8239 238\n"
"TA6AA 987\n"
"AA2AA 413\n"
"9628A 81\n"
"A22AK 50\n"
"75565 141\n"
"TT56T 518\n"
"2A52J 816\n"
"444J3 690\n"
"T3565 582\n"
"A33J3 258\n"
"42877 96\n"
"99J99 444\n"
"4A234 572\n"
"JT5K8 929\n"
